"Group","Variable","Units","Description"
"Aircraft Position, Direction And Speed", "PLANE TOUCHDOWN BANK DEGREES", "degrees", "This float represents the bank of the player's plane from the last touchdown. (Not previsouly in FSX)"
"Aircraft Position, Direction And Speed", "PLANE TOUCHDOWN HEADING DEGREES MAGNETIC", "degrees", "This float represents the magnetic heading of the player's plane from the last touchdown. (Not previsouly in FSX)"
"Aircraft Position, Direction And Speed", "PLANE TOUCHDOWN HEADING DEGREES TRUE", "degrees", "This float represents the true heading of the player's plane from the last touchdown. (Not previsouly in FSX)"
"Aircraft Position, Direction And Speed", "PLANE TOUCHDOWN LATITUDE", "radians", "This float represents the plane latitude for the last touchdown. (Not previsouly in FSX)"
"Aircraft Position, Direction And Speed", "PLANE TOUCHDOWN LONGITUDE", "radians", "This float represents the plane longitude for the last touchdown. (Not previsouly in FSX)"
"Aircraft Position, Direction And Speed", "PLANE TOUCHDOWN NORMAL VELOCITY", "feet per second", "This float represents the player's plane speed according to ground normal from the last touchdown. (Not previsouly in FSX)"
"Aircraft Position, Direction And Speed", "PLANE TOUCHDOWN PITCH DEGREES", "degrees", "This float represents the pitch of the player's plane from the last touchdown. (Not previsouly in FSX)"
"Aircraft Position, Direction And Speed", "RELATIVE WIND VELOCITY BODY X", "feet per second", "Lateral speed relative to wind"
"Aircraft Position, Direction And Speed", "RELATIVE WIND VELOCITY BODY Y", "feet per second", "Vertical speed relative to wind"
"Aircraft Position, Direction And Speed", "RELATIVE WIND VELOCITY BODY Z", "feet per second", "Longitudinal speed relative to wind"
"Aircraft Position, Direction And Speed", "ROTATION ACCELERATION BODY X", "radians per second squared", "Rotation acceleration relative to aircraft axis"
"Aircraft Position, Direction And Speed", "ROTATION ACCELERATION BODY Y", "radians per second squared", "Rotation acceleration relative to aircraft axis"
"Aircraft Position, Direction And Speed", "ROTATION ACCELERATION BODY Z", "radians per second squared", "Rotation acceleration relative to aircraft axis"
"Aircraft Position, Direction And Speed", "ROTATION VELOCITY BODY X", "feet per second", "Rotation relative to aircraft axis"
"Aircraft Position, Direction And Speed", "ROTATION VELOCITY BODY Y", "feet per second", "Rotation relative to aircraft axis"
"Aircraft Position, Direction And Speed", "ROTATION VELOCITY BODY Z", "feet per second", "Rotation relative to aircraft axis"
"Aircraft Position, Direction And Speed", "SLOPE TO ATC RUNWAY", "radians", "The slope between the plane and the expected landing position of the runway. Returns 0 if no runway is assigned."
"Aircraft Position, Direction And Speed", "VELOCITY BODY X", "feet per second", "True lateral speed, relative to aircraft axis"
"Aircraft Position, Direction And Speed", "VELOCITY BODY Y", "feet per second", "True vertical speed, relative to aircraft axis"
"Aircraft Position, Direction And Speed", "VELOCITY BODY Z", "feet per second", "True longitudinal speed, relative to aircraft axis"
"Aircraft Position, Direction And Speed", "VERTICAL SPEED", "feet per second", "The current indicated vertical speed for the aircraft."
"Airspeed", "AIRCRAFT WIND X", "knots", "Wind component in aircraft lateral axis"
"Airspeed", "AIRCRAFT WIND Y", "knots", "Wind component in aircraft vertical axis"
"Airspeed", "AIRCRAFT WIND Z", "knots", "Wind component in aircraft longitudinal axis"
"Airspeed", "AIRSPEED BARBER POLE", "knots", "Redline airspeed (dynamic on some aircraft)"
"Airspeed", "AIRSPEED INDICATED", "knots", "Indicated airspeed"
"Airspeed", "AIRSPEED MACH", "mach", "Current mach"
"Airspeed", "AIRSPEED SELECT INDICATED OR TRUE", "knots", "The airspeed, whether true or indicated airspeed has been selected."
"Airspeed", "AIRSPEED TRUE", "knots", "True airspeed"
"Airspeed", "AIRSPEED TRUE RAW", "knots", "Equivalent to AIRSPEED TRUE, but does not account for wind when used to Set Airspeed value"
"Airspeed", "BARBER POLE MACH", "mach", "Mach associated with maximum airspeed"
"Airspeed", "TOTAL VELOCITY", "feet per second", "Velocity regardless of direction. For example, if a helicopter is ascending vertically at 100 fps, getting this variable will return 100."
"Airspeed", "WINDSHIELD WIND VELOCITY", "feet per second", "Longitudinal speed of wind on the windshield"
"Temperature", "STANDARD ATM TEMPERATURE", "rankine", "Outside temperature on the standard ATM scale"
"Temperature", "TOTAL AIR TEMPERATURE", "celsius", "Total air temperature is the air temperature at the front of the aircraft where the ram pressure from the speed of the aircraft is taken into account."
"Helicopter Specific (Deprecated)", "IS ATTACHED TO SLING", "bool", "Set to true if this object is attached to a sling."
"Helicopter Specific (Deprecated)", "NUM SLING CABLES", "number", "The number of sling cables (not hoists) that are configured for the aircraft. Refer to the document Notes on Aircraft Systems."
"Helicopter Specific (Deprecated)", "SLING ACTIVE PAYLOAD STATION", "number", "The payload station (identified by the parameter) where objects will be placed from the sling (identified by the index)."
"Helicopter Specific (Deprecated)", "SLING CABLE BROKEN", "bool", "True if the cable is broken."
"Helicopter Specific (Deprecated)", "SLING CABLE EXTENDED LENGTH", "feet", "The length of the cable extending from the aircraft."
"Helicopter Specific (Deprecated)", "SLING HOIST PERCENT DEPLOYED", "percent over 100", "The percentage of the full length of the sling cable deployed."
"Helicopter Specific (Deprecated)", "SLING HOIST SWITCH", "bool", "True if the hoist is enabled."
"Helicopter Specific (Deprecated)", "SLING HOOK IN PICKUP MODE", "bool", "A Boolean for whether or not the hook is in pickup mode, so capable of picking up another object."
"ADF", "ADF AVAILABLE", "bool", "True if ADF is available"
"ADF", "ADF CARD", "degrees", "ADF compass rose setting"
"ADF", "ADF EXT FREQUENCY", "frequency bcd16", "Deprecated, use ADF ACTIVE FREQUENCY"
"ADF", "ADF FREQUENCY", "frequency bcd16", "Deprecated, use ADF ACTIVE FREQUENCY"
"ADF", "ADF RADIAL", "degrees", "Current direction from NDB station"
"ADF", "ADF RADIAL MAG", "degrees", "Returns the magnetic bearing to the currently tuned ADF transmitter."
"ADF", "ADF SIGNAL", "number", "Signal strength"
"ADF", "ADF SOUND", "bool", "ADF audio flag. Index of 0 or 1."
"ADF", "ADF STANDBY AVAILABLE", "bool", "True if ADF Standby is available"
"ADF", "ADF STANDBY FREQUENCY", "hz", "ADF standby frequency"
"ADF", "ADF VOLUME", "percent over 100", "Returns the volume of the ADF"
"ATC", "ATC AIRPORT IS TOWERED", "bool", "If the airport is controlled, this boolean is true"
"ATC", "ATC CLEARED IFR", "bool", "Returns whether or not the user has filed an IFR flightplan that has been cleared by the sim ATC"
"ATC", "ATC CLEARED LANDING", "bool", "Whether the ATC has cleared the plane for landing."
"ATC", "ATC CLEARED TAKEOFF", "bool", "Whether the ATC has cleared the plane for takeoff."
"ATC", "ATC CLEARED TAXI", "bool", "Whether the ATC has cleared the plane for taxi."
"ATC", "ATC CURRENT WAYPOINT ALTITUDE", "bool", "Returns the target altitude for the current ATC flightplan waypoint."
"ATC", "ATC FLIGHTPLAN DIFF ALT", "meters", "Altitude between the position of the aircraft and his closest waypoints in the flightplan"
"ATC", "ATC FLIGHTPLAN DIFF DISTANCE", "meters", "Returns the lateral distance the user's plane is from the ATC flight plan track."
"ATC", "ATC FLIGHTPLAN DIFF HEADING", "degrees", "Heading between the position of the aircraft and his closest waypoints in the flightplan"
"ATC", "ATC HEAVY", "bool", "Is this aircraft recognized by ATC as heavy"
"ATC", "ATC IFR FP TO REQUEST", "bool", "Returns true if the user has a valid IFR flight plan they can as for clearance for with ATC at the airport they are currently at."
"ATC", "ATC ON PARKING SPOT", "bool", "Is ATC aircraft on parking spot"
"ATC", "ATC PREVIOUS WAYPOINT ALTITUDE", "meters", "Returns the target altitude for the previous ATC flightplan waypoint."
"ATC", "ATC RUNWAY DISTANCE", "meters", "This float represents the distance between the player's plane and the center of the runway selected by the ATC."
"ATC", "ATC RUNWAY END DISTANCE", "meters", "This is a float corresponding to the horizontal distance between the player's plane and the end of the runway selected by the ATC."
"ATC", "ATC RUNWAY HEADING DEGREES TRUE", "degrees", "This float represents the true heading of the runway selected by the ATC."
"ATC", "ATC RUNWAY LENGTH", "meters", "The length of the runway assigned by the ATC. Returns -1 if no runway is assigned."
"ATC", "ATC RUNWAY RELATIVE POSITION X", "meters", "This is a float corresponding to the player's main gear relative X (transverse) position on the runway selected by the ATC."
"ATC", "ATC RUNWAY RELATIVE POSITION Y", "meters", "This is a float corresponding to the player's main gear relative Y (height) position on the runway selected by the ATC."
"ATC", "ATC RUNWAY RELATIVE POSITION Z", "meters", "This is a float corresponding to the player's main gear relative Z (longitudinal) position on the runway selected by the ATC."
"ATC", "ATC RUNWAY SELECTED", "bool", "This is a boolean corresponding to whether or not the ATC has pre-selected a runway for the player's plane. If this is false, every other ATC_RUNWAY SimVar will return default values."
"ATC", "ATC RUNWAY START DISTANCE", "meters", "This is a float corresponding to the horizontal distance between the player's plane and the start of the runway selected by the ATC."
"ATC", "ATC RUNWAY TDPOINT RELATIVE POSITION X", "meters", "This float represents the player's main gear relative X (transverse) position accorindg to the aiming point of the runway selected by the ATC."
"ATC", "ATC RUNWAY TDPOINT RELATIVE POSITION Y", "meters", "This float represents the player's main gear relative Y (height) position accorindg to the aiming point of the runway selected by the ATC."
"ATC", "ATC RUNWAY TDPOINT RELATIVE POSITION Z", "meters", "This float represents the player's main relative Z (longitudinal) position accorindg to the aiming point of the runway selected by the ATC."
"ATC", "ATC RUNWAY WIDTH", "meters", "The width of the runway assigned by the ATC. Returns -1 if no runway is assigned."
"ATC", "ATC SUGGESTED MIN RWY LANDING", "feet", "Suggested minimum runway length for landing. Used by ATC"
"ATC", "ATC SUGGESTED MIN RWY TAKEOFF", "feet", "Suggested minimum runway length for takeoff. Used by ATC"
"ATC", "ATC TAXIPATH DISTANCE", "meters", "Returns the lateral distance the user's plane is from the path of the currently issued ATC taxi instructions."
"COM", "COM1 STORED FREQUENCY", "frequency bcd16", "The stored COM1 frequency value."
"COM", "COM2 STORED FREQUENCY", "frequency bcd16", "The stored COM2 frequency value."
"COM", "COM3 STORED FREQUENCY", "frequency bcd16", "The stored COM3 frequency value."
"COM", "COM ACTIVE FREQUENCY:1", "frequency bcd16", "Com frequency. Index is 1, 2 or 3."
"COM", "COM ACTIVE FREQUENCY:2", "frequency bcd16", "Com frequency. Index is 1, 2 or 3."
"COM", "COM ACTIVE FREQUENCY:3", "frequency bcd16", "Com frequency. Index is 1, 2 or 3."
"COM", "COM AVAILABLE:1", "bool", "True if COM1, COM2 or COM3 is available (depending on the index, either 1, 2, or 3)"
"COM", "COM AVAILABLE:2", "bool", "True if COM1, COM2 or COM3 is available (depending on the index, either 1, 2, or 3)"
"COM", "COM AVAILABLE:3", "bool", "True if COM1, COM2 or COM3 is available (depending on the index, either 1, 2, or 3)"
"COM", "COM RECEIVE:1", "bool", "Whether or not the plane is receiving on the indexed com channel or not (either 1, 2, or 3 for the index)."
"COM", "COM RECEIVE:2", "bool", "Whether or not the plane is receiving on the indexed com channel or not (either 1, 2, or 3 for the index)."
"COM", "COM RECEIVE:3", "bool", "Whether or not the plane is receiving on the indexed com channel or not (either 1, 2, or 3 for the index)."
"COM", "COM RECEIVE ALL", "bool", "Toggles all COM radios to receive on"
"COM", "COM RECEIVE EX1:1", "bool", "Whether or not the plane is receiving on the indexed com channel. Index is 1, 2 or 3."
"COM", "COM RECEIVE EX1:2", "bool", "Whether or not the plane is receiving on the indexed com channel. Index is 1, 2 or 3."
"COM", "COM RECEIVE EX1:3", "bool", "Whether or not the plane is receiving on the indexed com channel. Index is 1, 2 or 3."
"COM", "COM SPACING MODE:1", "enum", "The COM radio frequency step. Index is 1, 2 or 3."
"COM", "COM SPACING MODE:2", "enum", "The COM radio frequency step. Index is 1, 2 or 3."
"COM", "COM SPACING MODE:3", "enum", "The COM radio frequency step. Index is 1, 2 or 3."
"COM", "COM STANDBY FREQUENCY:1", "frequency bcd16", "Com standby frequency. Index is 1, 2 or 3."
"COM", "COM STANDBY FREQUENCY:2", "frequency bcd16", "Com standby frequency. Index is 1, 2 or 3."
"COM", "COM STANDBY FREQUENCY:3", "frequency bcd16", "Com standby frequency. Index is 1, 2 or 3."
"COM", "COM STATUS:1", "enum", "Radio status flag for the indexed com channel. Index is 1, 2 or 3."
"COM", "COM STATUS:2", "enum", "Radio status flag for the indexed com channel. Index is 1, 2 or 3."
"COM", "COM STATUS:3", "enum", "Radio status flag for the indexed com channel. Index is 1, 2 or 3."
"COM", "COM TEST:1", "bool", "Enter an index of 1, 2 or 3. Will return TRUE if the COM system is working, FALSE otherwise."
"COM", "COM TEST:2", "bool", "Enter an index of 1, 2 or 3. Will return TRUE if the COM system is working, FALSE otherwise."
"COM", "COM TEST:3", "bool", "Enter an index of 1, 2 or 3. Will return TRUE if the COM system is working, FALSE otherwise."
"COM", "COM TRANSMIT:1", "bool", "Audio panel com transmit state. Index of 1, 2 or 3."
"COM", "COM TRANSMIT:2", "bool", "Audio panel com transmit state. Index of 1, 2 or 3."
"COM", "COM TRANSMIT:3", "bool", "Audio panel com transmit state. Index of 1, 2 or 3."
"COM", "COM VOLUME", "percent", "The Volume of the Com Radio"
"GPS", "GPS APPROACH APPROACH INDEX", "number", "Index of approach for given airport"
"GPS", "GPS APPROACH APPROACH TYPE", "enum", "Approach type"
"GPS", "GPS APPROACH IS FINAL", "bool", "Is approach transition final approach segment"
"GPS", "GPS APPROACH IS MISSED", "bool", "Is approach segment missed approach segment"
"GPS", "GPS APPROACH IS WP RUNWAY", "bool", "Waypoint is the runway"
"GPS", "GPS APPROACH MODE", "enum", "Sub mode within approach mode."
"GPS", "GPS APPROACH SEGMENT TYPE", "enum", "Segment type within approach."
"GPS", "GPS APPROACH TIMEZONE DEVIATION", "seconds", "Deviation of local time from GMT"
"GPS", "GPS APPROACH TRANSITION INDEX", "number", "Index of approach transition"
"GPS", "GPS APPROACH WP COUNT", "number", "Number of waypoints"
"GPS", "GPS APPROACH WP INDEX", "number", "Index of current waypoint"
"GPS", "GPS APPROACH WP TYPE", "enum", "Waypoint type within approach mode."
"GPS", "GPS COURSE TO STEER", "radians", "Suggested heading to steer (for autopilot)"
"GPS", "GPS DRIVES NAV1", "bool", "GPS is driving Nav 1 indicator. Note this setting will also affect the SimVars HSI_STATION_IDENT and HSI_BEARING."
"GPS", "GPS ETA", "seconds", "Estimated time of arrival at destination"
"GPS", "GPS ETE", "seconds", "Estimated time en route to destination"
"GPS", "GPS FLIGHTPLAN TOTAL DISTANCE", "meters", "This is the complete flightplan length from start to end. Essentially the cumulative length of all the flight plan legs added together."
"GPS", "GPS FLIGHT PLAN WP COUNT", "number", "Number of waypoints"
"GPS", "GPS FLIGHT PLAN WP INDEX", "number", "Index of waypoint"
"GPS", "GPS GROUND MAGNETIC TRACK", "radians", "Current magnetic ground track"
"GPS", "GPS GROUND SPEED", "meters per second", "Current ground speed"
"GPS", "GPS GROUND TRUE HEADING", "radians", "Current true heading"
"GPS", "GPS GROUND TRUE TRACK", "radians", "Current true ground track"
"GPS", "GPS IS ACTIVE FLIGHT PLAN", "bool", "Flight plan mode active"
"GPS", "GPS IS ACTIVE WAY POINT", "bool", "Waypoint mode active"
"GPS", "GPS IS ACTIVE WP LOCKED", "bool", "Is switching to next waypoint locked"
"GPS", "GPS IS APPROACH ACTIVE", "bool", "Is approach mode active"
"GPS", "GPS IS APPROACH LOADED", "bool", "Is approach loaded"
"GPS", "GPS IS ARRIVED", "bool", "Is flight plan destination reached"
"GPS", "GPS IS DIRECTTO FLIGHTPLAN", "bool", "Is Direct To Waypoint mode active"
"GPS", "GPS MAGVAR", "radians", "Current GPS magnetic variation"
"GPS", "GPS OBS ACTIVE", "bool", "Indicates whether GPS is in OBS mode or not."
"GPS", "GPS OBS VALUE", "degrees", "This is the currently selected OBS course in degrees, from 0 to 360."
"GPS", "GPS OVERRIDDEN", "bool", "When it is active, all sim GPS system updates are suspended. This must be set to TRUE to be able to correctly set to any other GPS SimVar."
"GPS", "GPS POSITION ALT", "meters", "Current GPS altitude"
"GPS", "GPS POSITION LAT", "degrees", "Current GPS latitude"
"GPS", "GPS POSITION LON", "degrees", "Current GPS longitude"
"GPS", "GPS TARGET ALTITUDE", "meters", "Altitude of GPS target"
"GPS", "GPS TARGET DISTANCE", "meters", "Distance to target"
"GPS", "GPS VERTICAL ANGLE", "degrees", "Glidepath in degrees"
"GPS", "GPS VERTICAL ANGLE ERROR", "degrees", "Vertical error in degrees from GlidePath"
"GPS", "GPS VERTICAL ERROR", "meters", "Vertical deviation in meters from GlidePath"
"GPS", "GPS WP BEARING", "radians", "Magnetic bearing to waypoint"
"GPS", "GPS WP CROSS TRK", "meters", "Cross track distance"
"GPS", "GPS WP DESIRED TRACK", "radians", "Desired track to waypoint"
"GPS", "GPS WP DISTANCE", "meters", "Distance to waypoint"
"GPS", "GPS WP ETA", "seconds", "Estimated time of arrival at waypoint"
"GPS", "GPS WP ETE", "seconds", "Estimated time en route to waypoint"
"GPS", "GPS WP NEXT ALT", "meters", "Altitude of next waypoint"
"GPS", "GPS WP NEXT LAT", "degrees", "Latitude of next waypoint"
"GPS", "GPS WP NEXT LON", "degrees", "Longitude of next waypoint"
"GPS", "GPS WP PREV ALT", "meters", "Altitude of previous waypoint"
"GPS", "GPS WP PREV LAT", "degrees", "Latitude of previous waypoint"
"GPS", "GPS WP PREV LON", "degrees", "Longitude of previous waypoint"
"GPS", "GPS WP PREV VALID", "bool", "Is previous waypoint valid (i.e. current waypoint is not the first waypoint)"
"GPS", "GPS WP TRACK ANGLE ERROR", "radians", "Tracking angle error to waypoint"
"GPS", "GPS WP TRUE BEARING", "radians", "True bearing to waypoint"
"GPS", "GPS WP TRUE REQ HDG", "radians", "Required true heading to waypoint"
"GPS", "GPS WP VERTICAL SPEED", "meters per second", "Vertical speed to waypoint"
"HSI", "HSI BEARING", "degrees", "If the GPS_DRIVES_NAV1 variable is true and the HSI BEARING VALID variable is true, this variable contains the HSI needle bearing. If the GPS DRIVES NAV1 variable is false and the HSI BEARING VALID variable is true, this variable contains the ADF1 frequency."
"HSI", "HSI BEARING VALID", "bool", "This will return true if the HSI BEARING variable contains valid data."
"HSI", "HSI CDI NEEDLE", "number", "Needle deflection (+/- 127)"
"HSI", "HSI CDI NEEDLE VALID", "bool", "Signal valid"
"HSI", "HSI DISTANCE", "nautical miles", "DME/GPS distance"
"HSI", "HSI GSI NEEDLE", "number", "Needle deflection (+/- 119)"
"HSI", "HSI GSI NEEDLE VALID", "bool", "Signal valid"
"HSI", "HSI HAS LOCALIZER", "bool", "Station is a localizer"
"HSI", "HSI SPEED", "knots", "DME/GPS speed"
"HSI", "HSI TF FLAGS", "enum", "Nav TO/FROM flag."
"MARKERS", "INNER MARKER", "bool", "Inner marker state"
"MARKERS", "MARKER AVAILABLE", "bool", "True if Marker is available"
"MARKERS", "MARKER BEACON SENSITIVITY HIGH", "bool", "Whether or not the Marker Beacon is in High Sensitivity mode."
"MARKERS", "MARKER BEACON STATE", "enum", "Marker beacon state."
"MARKERS", "MARKER BEACON TEST MUTE", "bool", "Whether or not the Marker Beacon is in Test/Mute mode."
"MARKERS", "MARKER SOUND", "bool", "Marker audio flag"
"MARKERS", "MIDDLE MARKER", "bool", "Middle marker state"
"MARKERS", "OUTER MARKER", "bool", "Outer marker state"
"NAV", "NAV ACTIVE FREQUENCY:1", "mhz", "Nav active frequency. Index is 1 or 2."
"NAV", "NAV ACTIVE FREQUENCY:2", "mhz", "Nav active frequency. Index is 1 or 2."
"NAV", "NAV ACTIVE FREQUENCY:3", "mhz", "Nav active frequency. Index is 1 or 2."
"NAV", "NAV AVAILABLE", "bool", "Flag if Nav equipped on aircraft"
"NAV", "NAV CDI", "number", "CDI needle deflection (+/- 127)"
"NAV", "NAV CLOSE DME", "nautical miles", "DME distance"
"NAV", "NAV CLOSE FREQUENCY", "hz", "Closest Localizer course frequency"
"NAV", "NAV CLOSE LOCALIZER", "degrees", "Closest Localizer course heading"
"NAV", "NAV DME", "nautical miles", "DME distance"
"NAV", "NAV DMESPEED", "knots", "DME speed"
"NAV", "NAV FREQUENCY", "hz", "Localizer course frequency"
"NAV", "NAV GLIDE SLOPE", "number", "The glide slope gradient."
"NAV", "NAV GLIDE SLOPE ERROR", "degrees", "Difference between current position and glideslope angle. Note that this provides 32 bit floating point precision, rather than the 8 bit integer precision of NAV GSI."
"NAV", "NAV GLIDE SLOPE LENGTH", "feet", "The distance between the plane and the Glide beacon."
"NAV", "NAV GSI", "number", "Glideslope needle deflection (+/- 119). Note that this provides only 8 bit precision, whereas NAV GLIDE SLOPE ERROR provides 32 bit floating point precision."
"NAV", "NAV GS FLAG", "bool", "Glideslope flag"
"NAV", "NAV HAS CLOSE DME", "bool", "Flag if found a close station with a DME"
"NAV", "NAV HAS CLOSE LOCALIZER", "bool", "Flag if found a close localizer station"
"NAV", "NAV HAS DME", "bool", "Flag if tuned station has a DME"
"NAV", "NAV HAS GLIDE SLOPE", "bool", "Flag if tuned station has a glideslope"
"NAV", "NAV HAS LOCALIZER", "bool", "Flag if tuned station is a localizer"
"NAV", "NAV HAS NAV", "bool", "Flag if Nav has signal"
"NAV", "NAV HAS TACAN", "bool", "Flag if Nav has a Tacan."
"NAV", "NAV LOCALIZER", "degrees", "Localizer course heading"
"NAV", "NAV MAGVAR", "degrees", "Magnetic variation of tuned nav station"
"NAV", "NAV OBS", "degrees", "OBS setting. Index of 1 or 2."
"NAV", "NAV RADIAL", "degrees", "Radial that aircraft is on"
"NAV", "NAV RADIAL ERROR", "degrees", "Difference between current radial and OBS tuned radial"
"NAV", "NAV RAW GLIDE SLOPE", "degrees", "Glide slope angle"
"NAV", "NAV RELATIVE BEARING TO STATION", "degrees", "Relative bearing to station"
"NAV", "NAV SIGNAL", "number", "Nav signal strength"
"NAV", "NAV SOUND", "bool", "Nav audio flag. Index of 1 or 2."
"NAV", "NAV STANDBY FREQUENCY:1", "mhz", "Nav standby frequency. Index is 1 or 2."
"NAV", "NAV STANDBY FREQUENCY:2", "mhz", "Nav standby frequency. Index is 1 or 2."
"NAV", "NAV STANDBY FREQUENCY:3", "mhz", "Nav standby frequency. Index is 1 or 2."
"NAV", "NAV TOFROM", "enum", "Nav TO/FROM flag."
"NAV", "NAV VOLUME", "percent", "The volume of the Nav radio"
"NAV", "NAV VOR DISTANCE", "meters", "Distance of the VOR beacon"
"TACAN", "TACAN ACTIVE CHANNEL:1", "number", "The active channel used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN ACTIVE CHANNEL:2", "number", "The active channel used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN ACTIVE MODE:1", "bool", "The active mode used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN ACTIVE MODE:2", "bool", "The active mode used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN AVAILABLE:1", "bool", "This will be 1 (TRUE) if the aircraft has the indexed Tacan receiver, or 0 (FALSE) otherwise."
"TACAN", "TACAN AVAILABLE:2", "bool", "This will be 1 (TRUE) if the aircraft has the indexed Tacan receiver, or 0 (FALSE) otherwise."
"TACAN", "TACAN STANDBY CHANNEL:1", "number", "The standby channel used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN STANDBY CHANNEL:2", "number", "The standby channel used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN STANDBY MODE:1", "bool", "The standby mode used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN STANDBY MODE:2", "bool", "The standby mode used by the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN STATION DISTANCE:1", "meters", "The distance between the Tacan station position and the aircraft position. The index value refers to the Tacan receiver connected to the station."
"TACAN", "TACAN STATION DISTANCE:2", "meters", "The distance between the Tacan station position and the aircraft position. The index value refers to the Tacan receiver connected to the station."
"TACAN", "TACAN STATION RADIO:1", "degrees", "The radial between the Tacan station and the aircraft. The index value refers to the Tacan receiver connected to the station."
"TACAN", "TACAN STATION RADIO:2", "degrees", "The radial between the Tacan station and the aircraft. The index value refers to the Tacan receiver connected to the station."
"TACAN", "TACAN VOLUME:1", "percent over 100", "The volume value of the indexed Tacan receiver on the aircraft."
"TACAN", "TACAN VOLUME:2", "percent over 100", "The volume value of the indexed Tacan receiver on the aircraft."
"Misc.", "COPILOT TRANSMITTER TYPE", "enum", "On which channel the copilot is transmitting."
"Misc.", "COPILOT TRANSMITTING", "bool", "Whether or not the copilot is transmitting."
"Misc.", "PILOT TRANSMITTER TYPE", "enum", "On which channel the pilot is transmitting."
